year,ann_min,ann_p50,ann_p90,ann_p99,ann_max,neg_cnt,nan_cnt
2001,0.0,535.4459107355215,622.6201585203875,686.4728652994847,739.9601857885718,0,0
2002,0.0,492.3706750345882,554.181923366338,597.0691106605856,613.5955755705945,0,0
2003,0.0,483.8608956299722,589.574594526086,675.6462197339256,704.9128504369874,0,0
2004,0.0,554.2758938786574,638.5357877916656,673.0400833544485,803.2358341612853,0,0
2005,0.0,496.9447542510461,546.7316637760493,612.7975014491008,657.5232433765195,0,0
2006,0.0,549.285710676806,636.1231421823846,672.8237315482204,687.1234014313668,0,0
2007,0.0,583.797790664481,674.271889310563,730.8108393813903,751.7082390324213,0,0
2008,0.0,561.8685977881541,638.1529130289797,733.3026075274871,767.3214220819063,0,0
2009,0.0,364.21775991283357,455.7072129606968,520.3493109309813,579.5187431178056,0,0
2010,0.0,394.38682711531874,505.6500576446066,535.3928671571613,592.2779946129303,0,0
2011,0.0,559.8677334239474,702.5329308233224,753.6512658666214,775.1716970875859,0,0
2012,0.0,590.7227145618526,659.3542375206016,700.3280949209561,763.7075859000906,0,0
2013,0.0,552.156960359891,644.8328796198126,714.9719364033268,749.1692107901908,0,0
2014,0.0,484.22963320242707,537.0883575869491,570.7579294566042,612.4596940670162,0,0
2015,0.0,488.3920260281302,564.6640673407819,613.5017311840668,660.7407789332792,0,0
2016,0.0,536.9619550883071,642.5138854938093,751.7646182251583,796.6215968441684,0,0
2017,0.0,609.257223581546,701.3419119545258,728.0846957235644,742.5870096695144,0,0
2018,0.0,403.90209862869233,494.4201750988607,618.5558551723982,695.683397801593,0,0
2019,0.0,536.5674657057971,660.4831241857726,720.259883166193,802.3536625271663,0,0
2020,0.0,497.7055203951895,628.9661660205107,669.589974270775,701.7438474877272,0,0
2021,0.0,465.2098559765145,555.0590769292787,625.5726422323381,703.8100583488122,0,0
2022,0.0,625.3081977701513,726.1142123597674,863.2115351149115,901.9507539399201,0,0
2023,0.0,443.87208427558653,518.6596235088306,574.6781167311548,623.9759764836635,0,0
2024,0.0,470.48503778886516,562.5896762839518,627.3596564826603,736.4129698495381,0,0
2025,0.0,473.22802489076275,542.9235375121701,608.1818071030501,633.3995807939209,0,0
