year,folder,ann_p50,ann_p90,ann_p99,ann_max,ann_min
2001,imerg_rfactor_calib_v2,439.14429129305205,516.0015296244063,615.9056168772839,677.3468514166307,0.0
2010,imerg_rfactor_calib_v2,362.456966188044,437.5872360514477,462.700016776144,519.2903411951847,0.0
2015,imerg_rfactor_calib_v2,452.14372876810376,525.2815891210097,554.7731796646679,610.8358810627833,0.0
2020,imerg_rfactor_calib_v2,517.9056254122406,585.9669403417787,649.4809706573435,670.4336700448971,0.0
2024,imerg_rfactor_calib_v2,457.57508069841424,516.5574832263214,560.8346011365043,619.0872727045789,0.0
2001,imerg_rfactor_calib_v3_soft,480.86866494081914,543.1340754632373,606.4095621138067,649.2313127988018,0.0
2010,imerg_rfactor_calib_v3_soft,415.5422725902172,476.0274696561508,510.8354949532263,556.5994706528727,0.0
2015,imerg_rfactor_calib_v3_soft,493.38528777461033,547.0660842248471,593.4519838672853,660.7407789332792,0.0
2020,imerg_rfactor_calib_v3_soft,546.2341004761402,626.8671614421997,670.4355794373621,711.7203127841931,0.0
2024,imerg_rfactor_calib_v3_soft,489.57874414348044,547.9679782271851,588.450851899814,661.2466814601794,0.0
