year,delta_ann_p99_pct,delta_ann_max_pct
2001,-1.541803565881306,-4.1508332930206855
2002,0.15025914705451535,0.2520600054017916
2003,10.14821400630918,1.735212389203575
2004,7.948576493741602,3.593522293944973
2005,6.351594229068014,5.244628239018388
2006,5.81424872423131,5.460078400144887
2007,4.911347814592331,4.728026898367113
2008,6.507342516538213,7.204221429040478
2009,0.7818814627213546,5.4812757690881995
2010,10.40317191092094,7.184637667594253
2011,2.0529745689673997,0.23219489798590592
2012,6.940949019556462,2.5101398925862446
2013,11.373528906264246,3.3235057135803823
2014,4.663522412540667,3.9375967173151833
2015,6.972003265550227,8.169935561687568
2016,1.3097508192524254,0.08307459137290682
2017,5.634338133489879,2.9399768424015957
2018,0.409647832515063,-0.3618580971003176
2019,3.6656489104190455,-0.12552332579770464
2020,3.2263622379590746,6.158199473563303
2021,3.7617277367575563,7.810278538545679
2022,2.364615759565795,2.5036954554354414
2023,8.969209539376635,7.1147000292868485
2024,4.924134621392247,6.809929813517329
2025,4.414873584665874,5.015712055070721
