year,delta_ann_p50_pct,delta_ann_p90_pct,delta_ann_p99_pct,delta_ann_max_pct
2001,11.349719741339182,14.634707459545183,13.202843125790338,13.974814707972518
2002,1.6365772939327663,4.481448429215467,6.3361537412116675,5.651846883937337
2003,-3.0726393729331827,-1.6102097577901153,2.90995151116344,1.5997306592399794
2004,-0.5074510919316164,-1.384156266618766,-5.5939073529177294,3.8944124051606397
2005,0.03712564684434878,-0.6158310468650018,2.247713211201203,0.0
2006,1.3876246834975097,-1.9513429471309034,-3.2324331666641326,-4.060775710457544
2007,0.1413608438938957,0.6416756388628626,2.62200765525141,2.2339632682788855
2008,-0.19587906024621798,1.5921515052392614,4.131306935514174,4.444871554943123
2009,-9.336808163038352,-3.9838777316133007,0.0,2.3848799077935183
2010,-5.091045332892202,6.222873652617798,4.807295586651336,6.410089452332379
2011,-2.6501893328783837,10.701031877832403,11.08811450240631,11.417734369265679
2012,-0.33075803620707434,0.12088135390838209,0.6133365031769374,0.0
2013,-2.9384146590132567,-3.4707525972275453,-1.0258660913642728,1.3223168004388703
2014,-4.559022121935541,-1.8324756157830409,-1.653842944699258,1.1822573411893496
2015,-1.0120410701749918,3.2167929292984465,3.378495288890166,0.0
2016,-3.5291232302069724,-0.4721116300481631,-0.10254685578244555,-2.3843003790150976
2017,1.2405609060347247,3.6867238450392144,3.9000974910321644,0.0
2018,-5.829383868898324,-2.511993951784172,2.382729244566197,-0.8421057983640705
2019,-2.2341137584611643,-0.8443191477505214,-0.45480037605957657,-1.9571609998031618
2020,-8.884209176733812,0.3348404107629324,-0.1261277283787299,-1.401739576244321
2021,-3.5609907051255183,-4.393925071790932,-3.327079587075855,-2.8793456187358126
2022,7.733086576419405,5.8524385305053155,0.14139925454015098,-2.9200570670877464
2023,-1.8496099319960488,-1.9426211916964677,-0.39021439263016755,-3.852984164477111
2024,-3.9000276427482117,2.668348998069487,6.612073796346661,11.367359640032495
2025,-0.05814454676598717,0.0,0.8021120500462868,0.0
