year,P_station_mm,P_sat_mm,P_corrected_mm,raster_old_mm,raster_v2_mm,raster_v3_soft_mm,pbias_old_pct,pbias_v2_pct,pbias_v3_soft_pct
2001,691.7,498.81998918484896,501.9127381636927,854.5157313561067,469.3118024772617,506.4776594885625,23.53848942548889,-32.15096104130957,-26.777843069457504
2002,580.0,517.6029882691801,522.108954119935,873.442962306086,503.4029598501511,528.6172817270271,50.593614190704486,-13.20638623273257,-8.859089357409113
2003,499.0,516.3139868117869,520.1115927876325,991.6815325599164,487.9246632116847,527.8190270569175,98.73377406010349,-2.219506370403873,5.775356123630771
2004,579.2,547.7979884045199,550.6570374877954,996.0297664813697,548.2694431100964,563.3604432595894,71.96646520741879,-5.340220457510987,-2.7347301002090245
2005,506.5,467.3829894270748,470.36762816475425,882.7015975485556,446.9176887604408,480.544083986897,74.27474778846113,-11.763536276319684,-5.124563872280944
2006,585.8,543.8239867752418,543.9223022125516,924.6035861866549,523.5093364505967,559.1202896335162,57.83605090246755,-10.633435225231008,-4.554406003155298
2007,675.3,624.7514844778925,633.9650437359078,1195.3048160197213,614.8212539329957,643.0035596033558,77.00352673178163,-8.955833861543654,-4.782532266643585
2008,681.6,622.9219855759293,628.3659762051057,1132.0236302460544,593.2567033160835,641.1117301424965,66.08327908539529,-12.961164419588686,-5.9401804368403015
2009,424.0,421.51699002459645,421.49857942094496,740.6964108641259,398.4419920705259,428.7598432954401,74.69254973210518,-6.027832058838235,1.1226045508113391
2010,523.8,427.7604899536818,438.73410253829695,888.1512677459978,428.68289334256485,445.89183207647875,69.55923401030887,-18.159050526429002,-14.873647942634824
2011,726.6,596.8674861863256,606.0971702882417,1149.860147638712,587.7282973977271,617.1336369542405,58.25215354234958,-19.112538205652747,-15.065560562312072
2012,622.0,573.6779873613268,581.7178530443588,1019.1514773704112,572.8625959018245,592.6242004097439,63.85071983447125,-7.899904195848145,-4.722797361777502
2013,554.0,560.3584860488772,558.9901570710608,949.1115480205044,549.8044589618221,573.0423357570544,71.31977401092138,-0.7573178769274201,3.4372447214899617
2014,509.4,514.3199869664386,521.9389724299716,962.1145381922834,504.5297718355432,529.7977846888825,88.87211193409567,-0.9560714889000319,4.004276538846202
2015,548.6,506.63548944471404,516.858975750941,1889.0872515812516,510.27493272422623,525.2970127495937,244.34692883362223,-6.985976535868353,-4.2477191488163175
2016,598.3,583.4054861180484,596.3511402797601,1082.2897315360606,598.2551119634829,604.7562922667712,80.89415536287157,-0.007502596777038703,1.079106178634672
2017,661.1,592.9149857247248,601.0418211349763,1030.2281972724013,600.2591196838766,608.8728663148358,55.83545564550012,-9.202976904571681,-7.90003534792984
2018,483.5,462.202488232404,474.12233567639794,857.1662289593369,470.4449692456983,481.58440093602985,77.28360474857018,-2.7001097733819432,-0.39619422212412586
2019,611.5,588.6244863932952,604.0407656066785,1096.5816671648063,599.5216324587818,610.206004273612,79.32651956906072,-1.9588499658574288,-0.21161009425804544
2020,588.6,623.7129845330492,643.3368088172194,1297.9180247318,621.3309436626732,651.2409840542823,120.50934840839278,5.560812718768809,10.642369020435318
2021,498.4,529.7094881813973,546.3179770583916,1015.7066603372805,533.3695731784683,551.8201214894652,103.7934711752168,7.0163670101260625,10.718322931273127
2022,735.0,607.8919857754372,625.7390999490673,1144.1241273041815,613.9691349423355,633.7947865305468,55.66314657199748,-16.46678436158701,-13.769416798565054
2023,461.3,441.8934897184372,452.655663667664,812.8560356236994,437.5149548127991,457.1021802476607,76.2098494740298,-5.156090437286131,-0.90999777852575
2024,596.4,468.09998905286193,485.56463761777195,949.7852876735851,463.0898123164804,490.31288754567504,59.253066343659476,-22.352479490865125,-17.787912886372393
