year,raster_v3_mm,raster_v2_mm,P_station_mm,P_sat_mm,P_corrected_mm,n_rows,expected,completeness,pbias_v3_pct,pbias_v2_pct,pbias_sat_pct,pbias_qmcsv_pct,abs_v3,abs_v2
2001,506.4776594885625,469.3118024772617,691.7,498.81998918484896,501.9127381636927,2920,2920,1.0,-26.777843069457504,-32.15096104130957,-27.8849227721774,-27.43779988959192,26.777843069457504,32.15096104130957
2002,528.6172817270271,503.4029598501511,580.0,517.6029882691801,522.108954119935,2920,2920,1.0,-8.859089357409113,-13.20638623273257,-10.758105470831024,-9.98121480690776,8.859089357409113,13.20638623273257
2003,527.8190270569175,487.9246632116847,499.0,516.3139868117869,520.1115927876325,2920,2920,1.0,5.775356123630771,-2.219506370403873,3.469736836029437,4.230780117762024,5.775356123630771,2.219506370403873
2004,563.3604432595894,548.2694431100964,579.2,547.7979884045199,550.6570374877954,2928,2928,1.0,-2.7347301002090245,-5.340220457510987,-5.421618024081524,-4.927997671306054,2.7347301002090245,5.340220457510987
2005,480.544083986897,446.9176887604408,506.5,467.3829894270748,470.36762816475425,2920,2920,1.0,-5.124563872280944,-11.763536276319684,-7.723003074615047,-7.133735801627986,5.124563872280944,11.763536276319684
2006,559.1202896335162,523.5093364505967,585.8,543.8239867752418,543.9223022125516,2920,2920,1.0,-4.554406003155298,-10.633435225231008,-7.165587781624814,-7.148804675221641,4.554406003155298,10.633435225231008
2007,643.0035596033558,614.8212539329957,675.3,624.7514844778925,633.9650437359078,2920,2920,1.0,-4.782532266643585,-8.955833861543654,-7.485342147505915,-6.120976790180982,4.782532266643585,8.955833861543654
2008,641.1117301424965,593.2567033160835,681.6,622.9219855759293,628.3659762051057,2928,2928,1.0,-5.9401804368403015,-12.961164419588686,-8.60886361855498,-7.810156073194596,5.9401804368403015,12.961164419588686
2009,428.7598432954401,398.4419920705259,424.0,421.51699002459645,421.49857942094496,2920,2920,1.0,1.1226045508113391,-6.027832058838235,-0.5856155602366857,-0.5899576837393954,1.1226045508113391,6.027832058838235
2010,445.89183207647875,428.68289334256485,523.8,427.7604899536818,438.73410253829695,2920,2920,1.0,-14.873647942634824,-18.159050526429002,-18.33514892064111,-16.240148427205614,14.873647942634824,18.159050526429002
2011,617.1336369542405,587.7282973977271,726.6,596.8674861863256,606.0971702882417,2920,2920,1.0,-15.065560562312072,-19.112538205652747,-17.854736280439646,-16.584479729116197,15.065560562312072,19.112538205652747
2012,592.6242004097439,572.8625959018245,622.0,573.6779873613268,581.7178530443588,2928,2928,1.0,-4.722797361777502,-7.899904195848145,-7.768812321330095,-6.476229414090229,4.722797361777502,7.899904195848145
2013,573.0423357570544,549.8044589618221,554.0,560.3584860488772,558.9901570710608,2920,2920,1.0,3.4372447214899617,-0.7573178769274201,1.1477411640572635,0.9007503738376934,3.4372447214899617,0.7573178769274201
2014,529.7977846888825,504.5297718355432,509.4,514.3199869664386,521.9389724299716,2920,2920,1.0,4.004276538846202,-0.9560714889000319,0.9658396086451932,2.4615179485613736,4.004276538846202,0.9560714889000319
2015,525.2970127495937,510.27493272422623,548.6,506.63548944471404,516.858975750941,2920,2920,1.0,-4.2477191488163175,-6.985976535868353,-7.649382164652932,-5.785822867127055,4.2477191488163175,6.985976535868353
2016,604.7562922667712,598.2551119634829,598.3,583.4054861180484,596.3511402797601,2928,2928,1.0,1.079106178634672,-0.007502596777038703,-2.4894724857014086,-0.3257328631522401,1.079106178634672,0.007502596777038703
2017,608.8728663148358,600.2591196838766,661.1,592.9149857247248,601.0418211349763,2920,2920,1.0,-7.90003534792984,-9.202976904571681,-10.313872980679957,-9.08458309862709,7.90003534792984,9.202976904571681
2018,481.58440093602985,470.4449692456983,483.5,462.202488232404,474.12233567639794,2920,2920,1.0,-0.39619422212412586,-2.7001097733819432,-4.404862826803725,-1.9395376057088027,0.39619422212412586,2.7001097733819432
2019,610.206004273612,599.5216324587818,611.5,588.6244863932952,604.0407656066785,2920,2920,1.0,-0.21161009425804544,-1.9588499658574288,-3.7408852995428896,-1.2198257388914933,0.21161009425804544,1.9588499658574288
2020,651.2409840542823,621.3309436626732,588.6,623.7129845330492,643.3368088172194,2928,2928,1.0,10.642369020435318,5.560812718768809,5.965508755190136,9.299491814002618,10.642369020435318,5.560812718768809
2021,551.8201214894652,533.3695731784683,498.4,529.7094881813973,546.3179770583916,2920,2920,1.0,10.718322931273127,7.0163670101260625,6.282000036395935,9.614361368056114,10.718322931273127,7.0163670101260625
2022,633.7947865305468,613.9691349423355,735.0,607.8919857754372,625.7390999490673,2920,2920,1.0,-13.769416798565054,-16.46678436158701,-17.293607377491536,-14.865428578358191,13.769416798565054,16.46678436158701
2023,457.1021802476607,437.5149548127991,461.3,441.8934897184372,452.655663667664,2920,2920,1.0,-0.90999777852575,-5.156090437286131,-4.206917468363931,-1.873907724330376,0.90999777852575,5.156090437286131
2024,490.31288754567504,463.0898123164804,596.4,468.09998905286193,485.56463761777195,2928,2928,1.0,-17.787912886372393,-22.352479490865125,-21.51240961554964,-18.58406478575252,17.787912886372393,22.352479490865125
